ticker,ticker_type,ticker_adm
LUGG11,Tijolo: Outros,Inter DTVM
LVBI11,Tijolo: Galpões,BTG Pactual
MALL11,Tijolo: Shoppings,Genial Investimentos Corretora de Valores
MATV11,Papel: CRIs,BTG Pactual
MAXR11,Tijolo: Varejo,BTG Pactual
MBRF11,Tijolo: Escritórios,Rio Bravo Investimentos
MCCI11,Papel: CRIs,BTG Pactual
MCHF11,Papel: Fundo de Fundos,BTG Pactual
MCHY11,Papel: CRIs,BTG Pactual
MFAI11,Híbrido (Tijolo/Papel),Planner Trustee DTVM LTDA
MFII11,Tijolo: Desenvolvimento,Mérito DTVM
MGCR11,Papel: CRIs,BTG Pactual
MGFF11,Papel: Fundo de Fundos,BTG Pactual
MGLG11,Tijolo: Galpões,BRL Trust DTVM
MORC11,Papel: CRIs,BTG Pactual
MTOF11,Tijolo: Escritórios,Oliveira Trust
MXRF11,Papel: CRIs,BTG Pactual
NAVT11,Papel: Fundo de Fundos,BTG Pactual
NCHB11,Papel: CRIs,BTG Pactual
NCRA11,FIAGRO,BTG Pactual
NEWL11,Tijolo: Galpões,Brasil Plural S.A. Banco Múltiplo
NEWU11,Tijolo: Escritórios,Brasil Plural S.A. Banco Múltiplo
NPAR11,Papel: CRIs,Planner Trustee DTVM LTDA
NSLU11,Tijolo: Hospital,BTG Pactual
NVHO11,Tijolo: Hospital,Genial Investimentos Corretora de Valores
ONEF11,Tijolo: Escritórios,Rio Bravo Investimentos
OUFF11,Papel: Fundo de Fundos,Banco Ourinvest S.A.
OUJP11,Papel: CRIs,Finaxis CTVM SA
OULG11,Tijolo: Galpões,Banco Ourinvest S.A.
OURE11,Papel: CRIs,Banco Ourinvest S.A.
PABY11,Tijolo: Desenvolvimento,BRKB DTVM
PATC11,Tijolo: Escritórios,MAF DTVM
PATL11,Tijolo: Galpões,Vórtx DTVM LTDA
PLCR11,Papel: CRIs,Brasil Plural S.A. Banco Múltiplo
PLOG11,Tijolo: Galpões,Banco Genial
PNPR11,Tijolo: Híbrido,Singulare CTVM
PORD11,Papel: CRIs,Oliveira Trust
PQAG11,Tijolo: Galpões,Hedge Investments DTVM LTDA
PQDP11,Tijolo: Shoppings,BTG Pactual
PRSV11,Tijolo: Escritórios,Hedge Investments DTVM LTDA
PURB11,Tijolo: Outros,Banco Genial
PVBI11,Tijolo: Escritórios,BTG Pactual
QAGR11,Tijolo: Outros,BTG Pactual
QAMI11,Papel: CRIs,Banco Genial
QIRI11,Papel: Fundo de Fundos,BRL Trust DTVM
RBCO11,Tijolo: Escritórios,BRL Trust DTVM
RBED11,Tijolo: Educacional,Rio Bravo Investimentos
RBFF11,Papel: Fundo de Fundos,BRL Trust DTVM
RBGS11,Tijolo: Shoppings,Oliveira Trust
RBHG11,Papel: CRIs,BRL Trust DTVM
RBHY11,Papel: CRIs,BRL Trust DTVM
RBIR11,Tijolo: Desenvolvimento,Oliveira Trust
RBRD11,Tijolo: Varejo,Votorantim Asset Management
RBRF11,Papel: Fundo de Fundos,BTG Pactual
RBRL11,Tijolo: Galpões,BRL Trust DTVM
RBRP11,Tijolo: Escritórios,BRL Trust DTVM
RBRR11,Papel: CRIs,BTG Pactual
RBRS11,Tijolo: Desenvolvimento,Rio Bravo Investimentos
RBRY11,Papel: CRIs,BTG Pactual
RBVA11,Tijolo: Bancário,Rio Bravo Investimentos
RBVO11,Papel: CRIs,Rio Bravo Investimentos
RCRB11,Tijolo: Escritórios,Rio Bravo Investimentos
RDPD11,Papel: CRIs,Votorantim Asset Management
RECR11,Papel: CRIs,BRL Trust DTVM
RECT11,Indefinido,BRL Trust DTVM
RECX11,Papel: Fundo de Fundos,BTG Pactual
RELG11,Tijolo: Galpões,BRL Trust DTVM
RFOF11,Papel: Fundo de Fundos,BRL Trust DTVM
RMAI11,Tijolo: Escritórios,Reag DTVM
RNDP11,Papel: CRIs,Votorantim Asset Management
RNGO11,Tijolo: Escritórios,Rio Bravo Investimentos
RRCI11,Papel: CRIs,BRL Trust DTVM
RURA11,FIAGRO,INTRAG DTVM
RVBI11,Papel: Fundo de Fundos,BRL Trust DTVM
RZAG11,FIAGRO,Banco Genial
RZAK11,Papel: CRIs,BTG Pactual
RZTR11,Indefinido,Brasil Plural S.A. Banco Múltiplo
SADI11,Papel: CRIs,Santander Securities Services Brasil DTVM
SARE11,Indefinido,Santander Securities Services Brasil DTVM
SCPF11,Tijolo: Shoppings,BR-CAPITAL
SDIL11,Tijolo: Galpões,Rio Bravo Investimentos
SEQR11,Indefinido,Vórtx DTVM LTDA
SFND11,Tijolo: Escritórios,Rio Bravo Investimentos
SHDP11B,Tijolo: Shoppings,BTG Pactual
SHPH11,Tijolo: Shoppings,Rio Bravo Investimentos
SNCI11,Papel: CRIs,BTG Pactual
SNFF11,Papel: Fundo de Fundos,BTG Pactual
SOLR11,Tijolo: Outros,Banco Genial
SPTW11,Tijolo: Escritórios,Genial Investimentos Corretora de Valores
STRX11,Tijolo: Desenvolvimento,Oliveira Trust
TBOF11,Tijolo: Escritórios,BTG Pactual
TCPF11,Indefinido,BR-CAPITAL
TEPP11,Tijolo: Escritórios,BRL Trust DTVM
TGAR11,Tijolo: Desenvolvimento,Vórtx DTVM LTDA
TORD11,Indefinido,Vórtx DTVM LTDA
TRNT11,Tijolo: Escritórios,BTG Pactual
TRXB11,Tijolo: Desenvolvimento,BRL Trust DTVM
TRXF11,Tijolo: Outros,BRL Trust DTVM
TSER11,Tijolo: Escritórios,BRL Trust DTVM
TSNC11,Tijolo: Outros,BTG Pactual
URPR11,Papel: CRIs,Vórtx DTVM LTDA
VCJR11,Papel: CRIs,INTRAG DTVM
VCRR11,Tijolo: Outros,BRL Trust DTVM
VERE11,Tijolo: Galpões,Votorantim Asset Management
VGHF11,Papel: Híbrido,Banco Daycoval S.A.
VGIA11,FIAGRO,BTG Pactual
VGIP11,Papel: CRIs,BTG Pactual
VGIR11,Papel: CRIs,BTG Pactual
VIFI11,Papel: Fundo de Fundos,BRL Trust DTVM
VILG11,Tijolo: Galpões,BRL Trust DTVM
VINO11,Tijolo: Escritórios,BRL Trust DTVM
